customer_id,age,gender,income,spending
124,53,Female,59234.71,11705.56
125,52,Male,62316.48,10383.07
126,56,Female,58408.04,12792.27
127,54,Female,59289.94,12252.61
128,42,Male,56031.24,12707.66
129,37,Female,58896.18,10892.91
130,36,Male,55534.85,12875.62
131,36,Female,58549.05,12870.4
132,48,Female,59825.21,11479.08
133,33,Male,55917.04,11807.32
134,38,Female,64461.95,12343.89
135,56,Male,64309.29,12922.74
136,31,Male,55558.71,12211.11
137,46,Male,62058.31,12905.96
138,26,Female,63369.64,12600.61
139,55,Male,59260.91,10667.73
140,26,Female,63918.97,10439.81
141,46,Male,57332.28,11743.92
142,62,Male,63803.6,10710.06
143,24,Male,60918.89,11050.65
144,48,Male,62771.47,11675.21
145,44,Female,64063.54,10333.59
146,20,Male,55113.54,11405.98
147,37,Female,62671.95,12468.37
148,56,Male,61810.39,10712.52
149,42,Female,60283.7,11309.01
150,61,Male,64698.79,10129.48
151,38,Female,115277.01,19985.93
152,54,Female,115538.54,19938.61
153,35,Male,116293.99,19391.5
154,48,Male,116275.58,19168.63
155,33,Male,110454.46,18561.93
156,49,Female,118902.64,18911.31
157,45,Male,112773.81,18376.24
158,43,Female,113533.52,19167.31
159,45,Male,119743.95,19972.42
160,34,Male,113095.28,19627.59
161,45,Female,111626.17,19821.85
162,23,Female,114166.39,19162.33
163,42,Female,110827.48,19753.32
164,62,Male,110263.67,18752.93
165,18,Female,119872.76,18300.83
166,38,Female,113808.91,19939.83
167,44,Male,118383.29,18937.39
168,52,Male,112734.07,18112.75
169,23,Female,118129.01,19999.44
170,55,Male,115554.32,19537.97
171,54,Female,118496.47,18494.7
172,31,Male,111291.59,19908.1
173,30,Female,112286.43,19343.4
174,49,Female,113581.63,18227.12
175,43,Female,115203.08,19544.64
176,29,Male,115519.07,19121.88
177,47,Male,114034.83,18268.03
178,64,Male,117551.37,19240.62
179,19,Male,112129.64,18272.74
180,51,Female,116080.88,19273.29
181,32,Male,110910.02,19452.79
182,55,Male,117836.53,18793.09
183,59,Male,116976.42,19592.94
184,27,Female,118420.91,19537.84
185,37,Female,110458.61,19241.61
186,19,Male,112091.31,19159.3
187,28,Male,115372.63,18920.24
188,33,Male,114003.0,19395.34
189,21,Female,116965.01,18823.32
190,49,Male,115152.36,19946.22
191,36,Male,111689.35,18557.18
192,39,Male,115487.15,19068.85
193,29,Female,118942.17,18257.5
194,43,Male,113215.83,18184.58
195,64,Male,116877.85,19023.31
196,60,Male,113772.86,18005.19
197,53,Male,110845.17,19194.56
198,32,Male,113704.72,18969.05
199,43,Female,113689.14,18925.07
200,62,Female,110366.83,18504.87
201,24,Male,43952.07,6023.35
202,64,Female,36071.72,5894.82
203,52,Male,37424.71,5538.49
204,54,Female,35200.71,5644.16
205,56,Female,38274.97,5239.52
206,34,Male,40935.92,6358.2
207,20,Male,39984.42,5173.84
208,64,Female,40868.41,6490.88
209,61,Male,38787.73,5674.89
210,43,Female,40707.78,5712.19
211,62,Female,41057.75,5474.45
212,39,Male,36528.59,5491.92
213,21,Female,36865.67,5570.19
214,48,Female,43967.65,5160.47
215,48,Female,41969.61,6994.51
216,23,Female,40759.98,6834.79
217,32,Female,44750.67,5981.5
218,55,Male,43208.61,6436.91
219,28,Female,39766.19,6677.17
220,22,Female,44679.94,6421.9
221,37,Male,42362.47,6059.68
222,18,Female,42677.8,5174.58
223,28,Male,39811.4,6065.18
224,50,Female,38366.04,5268.83
225,40,Female,44899.6,5644.71
226,19,Female,37546.41,6363.01
227,34,Male,40956.39,5943.15
228,52,Female,36066.99,6701.45
229,61,Female,36242.97,6461.73
230,26,Female,36812.33,5132.99
231,57,Female,40744.73,6683.66
232,25,Male,42952.67,5403.25
233,47,Male,36642.66,6629.15
234,31,Female,44078.66,5632.39
235,59,Male,41829.82,5903.9
236,57,Female,43996.67,6248.2
237,50,Male,39387.45,6154.97
238,34,Male,38914.82,6063.71
239,57,Female,41242.38,5233.8
240,23,Male,41277.08,5669.81
241,32,Male,41200.73,6066.92
242,56,Male,42885.97,5303.35
243,50,Male,37484.89,6487.89
244,21,Female,42140.64,5987.96
245,27,Male,36029.16,6072.96
246,64,Female,39570.0,6207.92
247,32,Male,40398.61,5972.71
248,21,Female,42718.82,5024.41
249,53,Female,42161.79,6198.06
250,37,Male,44590.75,5685.05
251,23,Female,74235.97,14575.86
252,60,Female,79118.52,14278.23
253,35,Male,72560.16,15452.19
254,60,Female,71022.13,15837.5
255,22,Female,70230.23,15302.73
256,45,Male,76067.15,14848.26
257,46,Female,79343.67,15851.14
258,40,Male,71132.38,15969.68
259,63,Female,71246.63,15841.68
260,57,Male,73990.03,14109.52
261,26,Female,78028.53,14009.26
262,58,Male,73981.69,15074.79
263,28,Female,73463.46,14693.91
264,51,Male,74522.18,14449.21
265,61,Male,71408.57,14352.77
266,24,Female,74189.25,15829.69
267,46,Male,72775.87,14440.19
268,38,Male,71780.36,15922.14
269,37,Female,78606.32,15070.14
270,57,Male,72995.96,14619.87
271,47,Male,74267.89,15599.56
272,49,Female,71906.88,14073.1
273,47,Female,75648.41,14131.42
274,31,Male,74532.89,15048.78
275,45,Male,74007.63,15119.28
276,21,Male,73343.63,14151.01
277,20,Female,72723.02,15794.86
278,51,Female,78007.5,15957.86
279,49,Female,78669.94,14815.97
280,20,Female,71961.13,15011.02
281,25,Female,73392.71,15138.89
282,50,Female,72381.83,14198.88
283,49,Female,77222.67,15711.39
284,60,Female,73971.84,15336.17
285,38,Female,72931.48,15792.67
286,24,Female,70855.09,14415.77
287,36,Female,71814.35,15166.08
288,35,Female,79106.24,15249.52
289,28,Female,78251.07,14726.12
290,29,Female,76241.49,14818.82
291,47,Male,74361.27,14588.93
292,39,Female,71401.13,15736.94
293,63,Male,77998.55,14850.43
294,34,Female,77416.87,15397.69
295,42,Male,72180.23,15290.11
296,63,Female,71322.76,15801.14
297,51,Male,76831.84,15645.17
298,38,Female,75765.16,14548.11
299,34,Male,76514.2,15659.48
300,40,Male,70109.96,14273.77
